,count,mean,std,min,25%,50%,75%,max,skewness,unique_values
wtempc,39408.0,11.267927831912303,8.883849023160336,0.7,2.7,9.6,21.0,24.6,0.26178912163312756,240
atempc,39548.0,10.237233235561849,9.124460881734075,-3.5,2.2,9.0,18.8,25.6,0.18997123992932965,292
winddir_dcfn,39548.0,159.99165570951754,105.48788515627793,5.0,48.0,183.0,199.0,351.0,0.11888119619472766,347
precp_in,39548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
relh_pct,39551.0,72.65431973907107,18.703236250906098,37.6,58.2,73.9,89.0,99.9,-0.23651741397310178,624
spc,39401.0,237.53833659044187,36.17806650450756,173.0,210.0,241.0,262.0,305.0,-0.00695357258952016,133
dox_mgl,39390.0,11.857679614115257,2.879720854311095,7.7,8.8,12.1,14.6,15.6,-0.1591133429279412,80
ph,39313.0,7.982578281993233,0.1341433978769186,7.8,7.9,8.0,8.1,8.2,0.16979121992993107,5
windgust_knots,39551.0,2.923575560668504,1.8262660116292715,0.529,1.45,2.53,4.06,7.01,0.7197341565790717,332
wse1988,39610.0,1.693421105781368,1.8448130170664947,-1.32,0.09,1.72,3.3,4.65,-0.03151094696108051,598
wvel_fps,39600.0,0.8162138888888889,0.6516068607731346,-0.43,0.34,0.89,1.27,1.94,-0.21760727060146554,238
mbars,39548.0,1015.4202993830282,7.379431474855329,1002.0,1010.0,1015.0,1021.0,1029.0,0.011544597075707763,28
windspeed_knots,39551.0,1.3668680943591818,1.1049659100958904,0.05,0.5,1.1,1.95,4.04,0.9434012213392033,400
par,39548.0,166.29696065540608,278.18457113803925,0.0,0.3,2.6,204.0,947.0,1.7545887025782017,1845
turb_fnu,37279.0,10.06591646771641,10.267044211015294,2.2,4.2,5.9,10.6,42.2,2.0566339452530285,401
